,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,ionisable_nitrogens,num_nitrogens,longest_tail,num_branches,num_carbons,num_heavy_atoms,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,num_sp3_carbons,tail_branches
8720,CCN(CC)c1ncccc1N,0.0,1.0,0.0,0.0,165.24000549316406,0.4444444477558136,0.75,2.0,3.0,5.0,2.0,9,12,0,0,0,1,4.0,0.0
8721,CC(C)Oc1ccc(CCN)cn1,0.0,1.0,0.0,0.0,180.25100708007812,0.5,0.7692307829856873,1.0,2.0,3.0,3.0,10,13,0,0,0,0,5.0,0.0
8722,CN1CCSc2ccc(N)cc21,1.0,1.0,0.0,0.0,180.2760009765625,0.3333333432674408,0.75,1.0,2.0,1.0,2.0,9,12,0,0,0,1,3.0,0.0
8723,NCC1(CN2CCCCC2)CC1,2.0,0.0,0.0,0.0,168.28399658203125,1.0,0.8333333134651184,1.0,2.0,2.0,3.0,10,12,0,0,0,1,10.0,0.0
8724,COc1cnc(N)nc1C1CCCC1,1.0,1.0,0.0,0.0,193.25,0.6000000238418579,0.7142857313156128,2.0,3.0,2.0,2.0,10,14,0,0,0,0,6.0,0.0
8725,CCOc1nccc(N)c1C1CC1,1.0,1.0,0.0,0.0,178.23500061035156,0.5,0.7692307829856873,1.0,2.0,3.0,2.0,10,13,0,0,0,0,5.0,0.0
8726,C/C=C/Cn1nc(N)cc1C,0.0,1.0,0.0,0.0,151.21299743652344,0.375,0.7272727489471436,2.0,3.0,4.0,3.0,8,11,1,0,1,0,3.0,0.0
8727,COc1ccc(N)c(NC2CC2)n1,1.0,1.0,0.0,0.0,179.22300720214844,0.4444444477558136,0.692307710647583,2.0,3.0,2.0,4.0,9,13,0,0,0,0,4.0,0.0
8728,Nc1c[nH]nc1C1CCC1,1.0,1.0,0.0,0.0,137.18600463867188,0.5714285969734192,0.699999988079071,2.0,3.0,1.0,1.0,7,10,0,0,0,0,4.0,0.0
8729,Nc1cccc(CC2CCNCC2)n1,1.0,1.0,0.0,0.0,191.2779998779297,0.5454545617103577,0.7857142686843872,2.0,3.0,1.0,3.0,11,14,0,0,0,0,6.0,0.0
8730,CC(C)(C)COc1ncccc1CN,0.0,1.0,0.0,0.0,194.2779998779297,0.5454545617103577,0.7857142686843872,1.0,2.0,4.0,4.0,11,14,0,0,0,0,6.0,0.0
8731,Cc1ccc(/C=C/CN)cn1,0.0,1.0,0.0,0.0,148.20899963378906,0.2222222238779068,0.8181818127632141,1.0,2.0,4.0,2.0,9,11,1,0,1,0,2.0,0.0
8732,Nc1cc(NCC(F)(F)F)ncn1,0.0,1.0,0.0,0.0,192.1439971923828,0.3333333432674408,0.4615384638309479,3.0,4.0,4.0,4.0,6,13,0,0,0,0,2.0,0.0
8733,COc1ccc(C(C)(C)CN)nc1,0.0,1.0,0.0,0.0,180.25100708007812,0.5,0.7692307829856873,1.0,2.0,4.0,3.0,10,13,0,0,0,0,5.0,0.0
8734,CCCn1nc(C2CC2)cc1N,1.0,1.0,0.0,0.0,165.24000549316406,0.6666666865348816,0.75,2.0,3.0,3.0,2.0,9,12,0,0,0,0,6.0,0.0
8735,COC(=O)c1nc(C(C)C)oc1N,0.0,1.0,1.0,0.0,184.19500732421875,0.5,0.6153846383094788,1.0,2.0,4.0,3.0,8,13,0,0,0,0,4.0,0.0
