,smiles,num_rings,aromatic_rings,num_esters,num_amides,molecular_weight,fsp3,carbon_fraction,longest_tail,num_branches,ionisable_nitrogens,num_nitrogens,num_carbons,num_heavy_atoms,num_sp3_carbons,num_alkenes,num_alkynes,num_unsaturations,tertiary_ionisable_nitrogens,tail_branches
90,[C-]#[N+]CC(C)(C)C,0.0,0.0,0.0,0.0,97.16100311279295,0.8333333134651184,0.8571428656578064,5.0,2.0,0.0,1.0,6,7,5,0,0,0,0,2.0
91,[C-]#[N+]CC(C)C,0.0,0.0,0.0,0.0,83.13400268554688,0.800000011920929,0.8333333134651184,5.0,1.0,0.0,1.0,5,6,4,0,0,0,0,1.0
92,[C-]#[N+]CCC[Si](OC)(OC)OC,0.0,0.0,0.0,0.0,189.28700256347656,0.8571428656578064,0.5833333134651184,8.0,2.0,0.0,1.0,7,12,6,0,0,0,0,2.0
93,[C-]#[N+]CCN1CCCC1(C)C,1.0,0.0,0.0,0.0,152.24099731445312,0.8888888955116272,0.8181818127632141,4.0,3.0,1.0,2.0,9,11,8,0,0,0,1,1.0
94,[C-]#[N+]Cc1ccnc(C)c1,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
95,[C-]#[N+]C1CCN(C(=O)OCC)CC1,1.0,0.0,1.0,1.0,182.22300720214844,0.7777777910232544,0.692307710647583,5.0,2.0,0.0,2.0,9,13,7,0,0,0,0,1.0
96,[C-]#[N+]Cc1ncccc1C,0.0,1.0,0.0,0.0,132.16600036621094,0.25,0.800000011920929,3.0,2.0,1.0,2.0,8,10,2,0,0,0,0,1.0
97,[C-]#[N+]C1CN(C(=O)OC(C)(C)C)C1,1.0,0.0,1.0,1.0,182.22300720214844,0.7777777910232544,0.692307710647583,5.0,4.0,0.0,2.0,9,13,7,0,0,0,0,1.0
98,[C-]#[N+]C1(C(=O)OC)CCCC1,1.0,0.0,1.0,0.0,153.18099975585938,0.75,0.7272727489471436,4.0,2.0,0.0,1.0,8,11,6,0,0,0,0,1.0
99,[C-]#[N+]CCSC,0.0,0.0,0.0,0.0,101.17400360107422,0.75,0.6666666865348816,6.0,0.0,0.0,1.0,4,6,3,0,0,0,0,0.0
